GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US06037207101,06037207101,"Census Tract 2071.01, Los Angeles County, California",3204,363,751,187,141,164,0,12,1849,274,0,12,441,342,22,36,0,12,22,36
1400000US06037207102,06037207102,"Census Tract 2071.02, Los Angeles County, California",2350,255,132,93,43,35,0,12,1992,239,0,12,183,106,0,12,0,12,0,12
1400000US06037207103,06037207103,"Census Tract 2071.03, Los Angeles County, California",2087,272,94,46,39,38,21,32,1750,291,45,66,75,95,63,63,0,12,63,63
1400000US06037207301,06037207301,"Census Tract 2073.01, Los Angeles County, California",4425,442,2245,403,895,322,89,81,692,134,0,12,385,189,119,76,37,42,82,62
1400000US06037207302,06037207302,"Census Tract 2073.02, Los Angeles County, California",3891,396,2020,294,790,351,14,25,384,154,0,12,374,163,309,169,73,81,236,160
1400000US06037207400,06037207400,"Census Tract 2074, Los Angeles County, California",969,208,548,179,172,83,0,12,52,29,0,12,114,52,83,40,79,39,4,6
1400000US06037207501,06037207501,"Census Tract 2075.01, Los Angeles County, California",2111,238,912,237,84,96,0,12,845,283,94,145,128,104,48,44,28,37,20,23
1400000US06037207502,06037207502,"Census Tract 2075.02, Los Angeles County, California",2391,167,596,162,57,48,0,12,1462,157,0,12,71,65,205,135,115,126,90,70
1400000US06037207710,06037207710,"Census Tract 2077.10, Los Angeles County, California",2933,301,1534,289,246,138,0,12,841,158,0,12,198,132,114,125,84,119,30,29
1400000US06037207900,06037207900,"Census Tract 2079, Los Angeles County, California",4299,487,1657,359,330,207,8,18,1605,394,0,12,579,320,120,79,11,26,109,74
1400000US06037208000,06037208000,"Census Tract 2080, Los Angeles County, California",6773,582,3619,685,175,136,9,15,1285,287,0,17,1544,559,141,106,50,39,91,101
1400000US06037208301,06037208301,"Census Tract 2083.01, Los Angeles County, California",2263,312,1992,400,0,12,10,17,34,39,0,12,194,111,33,45,26,43,7,13
1400000US06037208302,06037208302,"Census Tract 2083.02, Los Angeles County, California",4293,422,2934,499,430,224,0,12,455,82,0,12,353,219,121,127,68,110,53,58
1400000US06037208401,06037208401,"Census Tract 2084.01, Los Angeles County, California",4839,547,1014,406,94,60,0,17,970,256,10,16,2751,681,0,17,0,17,0,17
1400000US06037208402,06037208402,"Census Tract 2084.02, Los Angeles County, California",3161,327,1928,407,43,49,0,12,475,167,19,29,515,253,181,152,21,23,160,144
1400000US06037208501,06037208501,"Census Tract 2085.01, Los Angeles County, California",2611,343,1057,301,8,10,0,12,1163,321,8,14,351,295,24,41,0,12,24,41
1400000US06037208502,06037208502,"Census Tract 2085.02, Los Angeles County, California",3855,467,917,411,154,83,0,12,578,170,0,12,2153,629,53,42,36,36,17,21
1400000US06037208610,06037208610,"Census Tract 2086.10, Los Angeles County, California",4092,332,789,250,106,76,33,44,2061,274,0,12,994,353,109,80,37,57,72,46
1400000US06037208620,06037208620,"Census Tract 2086.20, Los Angeles County, California",4561,331,938,256,374,158,8,12,1661,234,0,12,1432,357,148,87,73,64,75,60
1400000US06037208710,06037208710,"Census Tract 2087.10, Los Angeles County, California",3852,328,576,203,190,96,79,115,2380,256,0,12,562,220,65,61,56,59,9,14
1400000US06037208720,06037208720,"Census Tract 2087.20, Los Angeles County, California",4366,409,1116,297,234,135,57,89,399,164,0,12,2535,484,25,41,0,12,25,41
1400000US06037208801,06037208801,"Census Tract 2088.01, Los Angeles County, California",3421,353,823,363,189,131,0,12,722,214,12,21,1631,464,44,47,31,41,13,22
1400000US06037208802,06037208802,"Census Tract 2088.02, Los Angeles County, California",3011,481,549,175,220,115,29,38,572,165,0,12,1611,521,30,30,10,18,20,23
1400000US06037208902,06037208902,"Census Tract 2089.02, Los Angeles County, California",2237,294,730,276,14,16,0,12,40,29,0,12,1441,293,12,14,12,14,0,12
1400000US06037208903,06037208903,"Census Tract 2089.03, Los Angeles County, California",3788,396,1171,359,185,92,20,22,175,91,0,12,2203,428,34,43,0,12,34,43
1400000US06037208904,06037208904,"Census Tract 2089.04, Los Angeles County, California",3514,415,932,338,62,59,10,15,323,106,0,12,2142,433,45,60,40,59,5,9
1400000US06037209102,06037209102,"Census Tract 2091.02, Los Angeles County, California",4880,498,1197,341,212,94,140,166,762,161,0,17,2549,520,20,23,10,17,10,16
1400000US06037209103,06037209103,"Census Tract 2091.03, Los Angeles County, California",3390,334,1030,284,26,24,29,37,107,88,14,23,2167,420,17,24,17,24,0,12
1400000US06037209104,06037209104,"Census Tract 2091.04, Los Angeles County, California",2305,219,897,232,114,63,58,71,116,85,5,7,996,262,119,106,106,106,13,14
1400000US06037209200,06037209200,"Census Tract 2092, Los Angeles County, California",2755,353,876,198,192,90,66,87,666,178,0,12,955,354,0,12,0,12,0,12
1400000US06037209300,06037209300,"Census Tract 2093, Los Angeles County, California",4728,522,1537,330,455,181,18,20,442,150,130,202,2012,533,134,125,126,124,8,12
1400000US06037209401,06037209401,"Census Tract 2094.01, Los Angeles County, California",3866,443,1092,283,375,152,18,29,524,174,9,15,1724,448,124,100,65,62,59,62
1400000US06037209402,06037209402,"Census Tract 2094.02, Los Angeles County, California",3811,356,1051,305,78,72,45,56,163,119,0,12,2474,393,0,12,0,12,0,12
1400000US06037209403,06037209403,"Census Tract 2094.03, Los Angeles County, California",3586,439,548,241,198,107,0,12,723,128,0,12,1835,465,282,217,267,216,15,22
1400000US06037209510,06037209510,"Census Tract 2095.10, Los Angeles County, California",2647,240,625,175,98,85,5,8,636,140,0,12,1266,268,17,13,0,12,17,13
1400000US06037209520,06037209520,"Census Tract 2095.20, Los Angeles County, California",2422,281,323,135,60,45,0,12,322,142,0,12,1713,298,4,6,4,6,0,12
1400000US06037209810,06037209810,"Census Tract 2098.10, Los Angeles County, California",2760,356,871,251,158,72,0,12,255,177,0,12,1418,291,58,45,6,8,52,46
1400000US06037209820,06037209820,"Census Tract 2098.20, Los Angeles County, California",2891,411,878,301,55,36,13,15,152,89,11,17,1725,484,57,57,52,56,5,7
1400000US06037210010,06037210010,"Census Tract 2100.10, Los Angeles County, California",3490,365,833,356,120,75,95,145,586,182,15,23,1813,400,28,28,28,28,0,12
1400000US06037211000,06037211000,"Census Tract 2110, Los Angeles County, California",4297,259,2758,308,102,72,10,15,1227,196,0,12,42,42,158,137,0,12,158,137
1400000US06037211120,06037211120,"Census Tract 2111.20, Los Angeles County, California",5303,450,813,333,276,160,0,17,3235,458,122,184,815,402,42,44,0,17,42,44
1400000US06037211121,06037211121,"Census Tract 2111.21, Los Angeles County, California",2307,219,557,178,134,71,0,12,853,201,5,17,626,145,132,176,18,29,114,176
1400000US06037211122,06037211122,"Census Tract 2111.22, Los Angeles County, California",2845,371,731,252,273,179,34,54,836,230,0,12,888,401,83,65,8,14,75,61
1400000US06037211201,06037211201,"Census Tract 2112.01, Los Angeles County, California",3065,275,845,257,57,49,28,49,309,142,0,12,1751,347,75,58,0,12,75,58
1400000US06037211202,06037211202,"Census Tract 2112.02, Los Angeles County, California",2679,319,964,242,83,60,0,12,504,193,0,12,1090,339,38,35,23,31,15,16
1400000US06037211310,06037211310,"Census Tract 2113.10, Los Angeles County, California",4401,449,1094,354,167,152,92,106,726,229,146,221,2088,533,88,70,23,39,65,57
1400000US06037211320,06037211320,"Census Tract 2113.20, Los Angeles County, California",3062,440,825,287,187,128,0,12,699,252,0,12,1303,466,48,42,8,14,40,33
1400000US06037211410,06037211410,"Census Tract 2114.10, Los Angeles County, California",2784,326,705,258,135,64,14,22,1302,181,0,12,356,143,272,193,76,69,196,175
1400000US06037211420,06037211420,"Census Tract 2114.20, Los Angeles County, California",3199,290,865,201,162,75,0,12,1162,235,0,12,993,242,17,18,0,12,17,18
1400000US06037211500,06037211500,"Census Tract 2115, Los Angeles County, California",4859,334,1900,234,102,90,15,24,2162,331,0,17,564,289,116,89,56,68,60,55
1400000US06037211701,06037211701,"Census Tract 2117.01, Los Angeles County, California",3041,306,854,279,71,59,0,12,2008,278,0,12,18,30,90,64,0,12,90,64
1400000US06037211703,06037211703,"Census Tract 2117.03, Los Angeles County, California",4977,451,1135,300,219,106,18,20,2215,349,0,17,1376,400,14,17,8,13,6,11
1400000US06037211704,06037211704,"Census Tract 2117.04, Los Angeles County, California",2780,292,509,137,141,91,0,12,1659,240,0,12,398,190,73,74,12,19,61,72
1400000US06037211802,06037211802,"Census Tract 2118.02, Los Angeles County, California",4207,366,994,288,179,103,62,89,1954,255,0,12,877,293,141,102,56,73,85,61
1400000US06037211803,06037211803,"Census Tract 2118.03, Los Angeles County, California",3769,338,559,310,297,173,0,12,2521,372,0,12,372,246,20,24,0,12,20,24
1400000US06037211804,06037211804,"Census Tract 2118.04, Los Angeles County, California",3044,331,508,208,159,187,0,12,1881,375,10,17,301,188,185,156,102,129,83,101
1400000US06037211910,06037211910,"Census Tract 2119.10, Los Angeles County, California",4927,494,1423,439,266,138,20,40,1105,285,6,10,1950,485,157,153,10,14,147,149
