"County Name","Census Tract","Population","Body Mass Index","IBL Ranking"
"Cowlitz","53015000602","2219","26.6","6"
"Cowlitz","53015000702","2114","26.92","7"
"Cowlitz","53015000703","1111","26.97","8"
"Cowlitz","53015000704","4954","27.01","8"
"Cowlitz","53015000800","4917","25.88","4"
"Cowlitz","53015000900","4838","26.85","7"
"Cowlitz","53015001000","1007","27.49","10"
"Cowlitz","53015001100","3782","27.54","10"
"Cowlitz","53015001200","3264","26.44","6"
"Cowlitz","53015001300","2476","27.3","9"
"Cowlitz","53015001501","1911","26.53","6"
"Cowlitz","53015001502","4512","26.91","7"
"Cowlitz","53015001600","5190","26.39","5"
"Cowlitz","53015001700","3782","26.39","5"
"Cowlitz","53015001800","1283","26.89","7"
"Cowlitz","53015001900","3983","26.45","6"
"Cowlitz","53015002001","2905","26.71","7"
"Cowlitz","53015002002","4720","26.84","7"
"Cowlitz","53015002100","2981","27.37","9"
"Douglas","53017950100","4176","26.98","8"
"Douglas","53017950200","1775","26.5","6"
"Douglas","53017950300","4088","27.08","8"
"Douglas","53017950400","4495","26.34","5"
"Douglas","53017950500","2197","26.93","7"
"Douglas","53017950600","3211","26.5","6"
"Douglas","53017950700","3181","27.29","9"
"Douglas","53017950800","3511","26.96","8"
"Ferry","53019940000","1153","27.94","10"
"Ferry","53019970100","2001","26.67","6"
"Ferry","53019970200","2558","26.34","5"
"Franklin","53021020100","5206","28.19","10"
"Franklin","53021020200","3932","28.08","10"
"Franklin","53021020300","3245","27.92","10"
"Franklin","53021020400","5761","28.2","10"
"Franklin","53021020501","3396","26.76","7"
"Franklin","53021020502","5802","27.5","10"
"Franklin","53021020601","5166","27.09","8"
"Franklin","53021020603","2163","27.8","10"
"Franklin","53021020605","4967","27.32","9"
"Franklin","53021020606","4654","27.46","9"
"Franklin","53021020700","971","27.54","10"
"Franklin","53021020800","5786","27.71","10"
"Franklin","53021980100","--","--","**"
"Garfield","53023970300","1668","27.74","10"
"Grant","53025010100","3016","27.38","9"
"Grant","53025010200","1967","26.85","7"
"Grant","53025010300","2865","27.69","10"
"Grant","53025010400","5393","27.55","10"
"Grant","53025010500","2115","27.08","8"
"Grant","53025010600","3896","27.63","10"
"Grant","53025010700","2088","26.97","8"
"Grant","53025010800","2829","27.97","10"
"Grant","53025010901","927","27.38","9"
"Grant","53025010902","7377","27.42","9"
"Grant","53025011000","7308","26.86","7"
