GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; In labor force:,Margin of Error; In labor force:,Estimate; In labor force: - Civilian labor force:,Margin of Error; In labor force: - Civilian labor force:,Estimate; In labor force: - Civilian labor force: - Employed,Margin of Error; In labor force: - Civilian labor force: - Employed,Estimate; In labor force: - Civilian labor force: - Unemployed,Margin of Error; In labor force: - Civilian labor force: - Unemployed,Estimate; In labor force: - Armed Forces,Margin of Error; In labor force: - Armed Forces,Estimate; Not in labor force,Margin of Error; Not in labor force
1400000US53011041323,53011041323,"Census Tract 413.23, Clark County, Washington",4308,267,2686,264,2686,264,2367,271,319,129,0,17,1622,292
1400000US53011041325,53011041325,"Census Tract 413.25, Clark County, Washington",3776,172,2356,164,2345,165,2203,170,142,84,11,18,1420,185
1400000US53011041326,53011041326,"Census Tract 413.26, Clark County, Washington",1817,134,1263,129,1255,131,1113,137,142,111,8,14,554,139
1400000US53011041327,53011041327,"Census Tract 413.27, Clark County, Washington",5935,344,4181,385,4181,385,3892,372,289,134,0,17,1754,250
1400000US53011041328,53011041328,"Census Tract 413.28, Clark County, Washington",4301,372,3206,354,3206,354,3001,319,205,106,0,17,1095,241
1400000US53011041329,53011041329,"Census Tract 413.29, Clark County, Washington",3036,246,2041,219,2032,219,1952,208,80,52,9,14,995,154
1400000US53011041330,53011041330,"Census Tract 413.30, Clark County, Washington",3527,384,2520,307,2520,307,2243,293,277,102,0,12,1007,265
1400000US53011041331,53011041331,"Census Tract 413.31, Clark County, Washington",2297,223,1726,228,1726,228,1556,203,170,78,0,12,571,170
1400000US53011041332,53011041332,"Census Tract 413.32, Clark County, Washington",2894,270,2070,203,2070,203,1864,198,206,116,0,12,824,163
1400000US53011041333,53011041333,"Census Tract 413.33, Clark County, Washington",2377,154,1616,145,1610,144,1503,146,107,61,6,11,761,142
1400000US53011041400,53011041400,"Census Tract 414, Clark County, Washington",3940,236,2618,231,2618,231,2382,235,236,90,0,12,1322,171
1400000US53011041500,53011041500,"Census Tract 415, Clark County, Washington",2265,230,1402,216,1402,216,1228,222,174,85,0,12,863,182
1400000US53011041600,53011041600,"Census Tract 416, Clark County, Washington",2599,224,1637,218,1630,213,1383,206,247,101,7,16,962,149
1400000US53011041700,53011041700,"Census Tract 417, Clark County, Washington",2618,264,1709,218,1709,218,1406,203,303,130,0,12,909,178
1400000US53011041800,53011041800,"Census Tract 418, Clark County, Washington",2876,240,1995,282,1995,282,1765,258,230,94,0,12,881,197
1400000US53011041900,53011041900,"Census Tract 419, Clark County, Washington",1698,205,1011,150,1011,150,874,131,137,97,0,12,687,128
1400000US53011042000,53011042000,"Census Tract 420, Clark County, Washington",1421,99,978,78,978,78,931,72,47,34,0,12,443,113
1400000US53011042100,53011042100,"Census Tract 421, Clark County, Washington",2290,238,1685,220,1685,220,1526,200,159,87,0,12,605,133
1400000US53011042300,53011042300,"Census Tract 423, Clark County, Washington",2469,202,1257,187,1257,187,1123,186,134,75,0,12,1212,224
1400000US53011042400,53011042400,"Census Tract 424, Clark County, Washington",2107,261,876,164,870,164,752,117,118,84,6,9,1231,212
1400000US53011042500,53011042500,"Census Tract 425, Clark County, Washington",1001,100,738,92,738,92,644,106,94,48,0,12,263,70
1400000US53011042600,53011042600,"Census Tract 426, Clark County, Washington",4425,301,2598,307,2596,307,2222,269,374,212,2,4,1827,257
1400000US53011042700,53011042700,"Census Tract 427, Clark County, Washington",3607,331,2233,264,2233,264,1810,252,423,125,0,17,1374,200
1400000US53011042800,53011042800,"Census Tract 428, Clark County, Washington",2513,212,1587,195,1587,195,1446,187,141,76,0,12,926,113
1400000US53011042900,53011042900,"Census Tract 429, Clark County, Washington",1156,129,589,110,589,110,508,87,81,47,0,12,567,91
1400000US53011043000,53011043000,"Census Tract 430, Clark County, Washington",1472,112,961,100,946,100,892,101,54,32,15,23,511,94
1400000US53011043100,53011043100,"Census Tract 431, Clark County, Washington",3281,278,2054,194,2054,194,1817,179,237,86,0,12,1227,194
1400000US53013960200,53013960200,"Census Tract 9602, Columbia County, Washington",3374,27,1726,102,1726,102,1601,103,125,51,0,12,1648,101
1400000US53015000300,53015000300,"Census Tract 3, Cowlitz County, Washington",378,55,135,41,135,41,113,34,22,19,0,12,243,55
1400000US53015000400,53015000400,"Census Tract 4, Cowlitz County, Washington",2987,239,1763,209,1763,209,1545,205,218,92,0,12,1224,173
1400000US53015000501,53015000501,"Census Tract 5.01, Cowlitz County, Washington",2292,222,1413,247,1413,247,1145,250,268,93,0,12,879,126
1400000US53015000502,53015000502,"Census Tract 5.02, Cowlitz County, Washington",3745,307,1984,257,1984,257,1518,229,466,170,0,12,1761,248
1400000US53015000601,53015000601,"Census Tract 6.01, Cowlitz County, Washington",2900,221,1625,198,1600,202,1305,179,295,133,25,31,1275,223
