GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US48029121813,48029121813,"Census Tract 1218.13, Bexar County, Texas",1571,181,1347,180,140,120,47,49,0,13,0,13,27,36,10,12,0,13,10,12
1400000US48029121903,48029121903,"Census Tract 1219.03, Bexar County, Texas",5127,342,4566,391,81,78,8,14,128,104,24,40,207,173,113,94,25,40,88,85
1400000US48029121904,48029121904,"Census Tract 1219.04, Bexar County, Texas",3582,429,2623,344,389,512,96,136,346,184,0,13,33,45,95,72,12,20,83,64
1400000US48029121905,48029121905,"Census Tract 1219.05, Bexar County, Texas",5663,470,4202,492,242,62,0,18,621,364,0,18,275,236,323,208,30,37,293,204
1400000US48029121906,48029121906,"Census Tract 1219.06, Bexar County, Texas",5348,416,4815,416,132,97,15,24,129,93,0,18,16,22,241,185,0,18,241,185
1400000US48029121907,48029121907,"Census Tract 1219.07, Bexar County, Texas",10800,560,8790,757,704,370,42,51,582,235,0,18,403,240,279,205,107,165,172,150
1400000US48029121908,48029121908,"Census Tract 1219.08, Bexar County, Texas",2455,182,1994,193,111,93,53,75,46,50,20,30,125,104,106,86,15,21,91,80
1400000US48029121909,48029121909,"Census Tract 1219.09, Bexar County, Texas",5542,591,4014,598,658,219,0,13,290,65,0,13,303,210,277,173,52,49,225,176
1400000US48029121910,48029121910,"Census Tract 1219.10, Bexar County, Texas",4402,293,3224,530,618,363,46,62,280,240,0,13,32,40,202,144,0,13,202,144
1400000US48029130200,48029130200,"Census Tract 1302, Bexar County, Texas",2158,386,773,222,365,159,0,13,11,18,0,13,1009,435,0,13,0,13,0,13
1400000US48029130300,48029130300,"Census Tract 1303, Bexar County, Texas",3356,365,2156,604,287,120,19,27,0,13,0,13,784,453,110,109,87,103,23,34
1400000US48029130401,48029130401,"Census Tract 1304.01, Bexar County, Texas",3787,698,2287,696,510,248,2,4,90,107,0,13,808,503,90,105,57,78,33,36
1400000US48029130402,48029130402,"Census Tract 1304.02, Bexar County, Texas",4335,522,2378,466,1191,360,0,13,20,28,0,13,566,333,180,167,180,167,0,13
1400000US48029130500,48029130500,"Census Tract 1305, Bexar County, Texas",4332,532,1814,431,1144,244,25,31,8,13,0,13,1203,445,138,101,109,97,29,31
1400000US48029130600,48029130600,"Census Tract 1306, Bexar County, Texas",4535,580,1651,491,1751,445,91,70,0,18,0,18,943,333,99,78,7,11,92,75
1400000US48029130700,48029130700,"Census Tract 1307, Bexar County, Texas",1987,548,1013,241,445,547,0,13,27,37,0,13,456,172,46,46,10,17,36,38
1400000US48029130800,48029130800,"Census Tract 1308, Bexar County, Texas",5707,523,1728,535,3154,480,1,13,0,18,0,18,795,488,29,34,29,34,0,18
1400000US48029130900,48029130900,"Census Tract 1309, Bexar County, Texas",4426,517,2094,587,1634,365,19,30,175,145,0,13,187,167,317,185,68,78,249,181
1400000US48029131000,48029131000,"Census Tract 1310, Bexar County, Texas",5024,557,1951,497,2427,366,0,13,34,47,0,13,536,281,76,93,46,79,30,51
1400000US48029131100,48029131100,"Census Tract 1311, Bexar County, Texas",2684,510,810,318,1059,220,17,26,0,13,0,13,764,526,34,39,0,13,34,39
1400000US48029131200,48029131200,"Census Tract 1312, Bexar County, Texas",2772,362,1341,282,1259,346,32,35,0,13,0,13,129,112,11,20,0,13,11,20
1400000US48029131300,48029131300,"Census Tract 1313, Bexar County, Texas",6586,919,4822,1138,1303,372,0,18,0,18,0,18,303,246,158,155,24,44,134,150
1400000US48029131401,48029131401,"Census Tract 1314.01, Bexar County, Texas",7439,615,4579,862,980,205,21,34,281,272,0,18,1310,532,268,201,23,35,245,198
1400000US48029131402,48029131402,"Census Tract 1314.02, Bexar County, Texas",2750,271,1683,371,610,110,0,13,0,13,0,13,433,246,24,24,0,13,24,24
1400000US48029131503,48029131503,"Census Tract 1315.03, Bexar County, Texas",3747,408,1989,371,423,183,14,31,26,64,216,249,897,534,182,122,130,103,52,54
1400000US48029131504,48029131504,"Census Tract 1315.04, Bexar County, Texas",3391,381,1937,419,698,231,10,17,274,342,0,13,443,242,29,36,0,13,29,36
1400000US48029131505,48029131505,"Census Tract 1315.05, Bexar County, Texas",3793,399,2039,480,997,341,13,23,126,112,0,13,407,287,211,127,34,32,177,120
1400000US48029131506,48029131506,"Census Tract 1315.06, Bexar County, Texas",3259,411,1681,405,783,203,0,13,31,40,0,13,554,313,210,162,0,13,210,162
1400000US48029131507,48029131507,"Census Tract 1315.07, Bexar County, Texas",6951,877,2844,705,1419,502,24,40,46,62,223,314,2031,795,364,208,31,46,333,207
1400000US48029131601,48029131601,"Census Tract 1316.01, Bexar County, Texas",2768,352,2049,293,308,148,7,9,9,17,0,13,379,162,16,21,10,17,6,12
1400000US48029131606,48029131606,"Census Tract 1316.06, Bexar County, Texas",5168,520,2541,466,1127,255,144,170,78,71,59,77,937,349,282,148,6,13,276,148
1400000US48029131608,48029131608,"Census Tract 1316.08, Bexar County, Texas",5631,536,3115,645,1328,280,15,27,297,204,0,18,603,326,273,176,51,77,222,146
1400000US48029131609,48029131609,"Census Tract 1316.09, Bexar County, Texas",9006,911,4386,979,2604,559,223,340,243,109,0,18,781,429,769,334,416,285,353,179
1400000US48029131610,48029131610,"Census Tract 1316.10, Bexar County, Texas",5555,511,2445,449,1897,352,0,18,252,188,0,18,413,216,548,200,235,128,313,159
1400000US48029131611,48029131611,"Census Tract 1316.11, Bexar County, Texas",1331,182,650,210,445,199,0,13,62,68,0,13,105,111,69,67,0,13,69,67
1400000US48029131612,48029131612,"Census Tract 1316.12, Bexar County, Texas",1884,372,713,228,693,326,0,13,85,83,0,13,295,165,98,60,45,29,53,50
1400000US48029131613,48029131613,"Census Tract 1316.13, Bexar County, Texas",4926,397,2219,395,1225,248,25,26,64,60,0,18,893,400,500,211,180,135,320,169
1400000US48029131614,48029131614,"Census Tract 1316.14, Bexar County, Texas",4111,585,2076,415,1308,472,0,13,143,113,0,13,261,204,323,199,77,111,246,158
1400000US48029131615,48029131615,"Census Tract 1316.15, Bexar County, Texas",7350,653,4202,887,1605,565,0,18,147,109,7,13,1004,445,385,199,51,38,334,190
1400000US48029131700,48029131700,"Census Tract 1317, Bexar County, Texas",1166,185,884,128,144,94,2,4,74,52,0,13,13,16,49,27,12,11,37,25
1400000US48029131801,48029131801,"Census Tract 1318.01, Bexar County, Texas",2508,280,2266,294,2,4,0,13,2,3,0,13,195,114,43,35,6,9,37,35
1400000US48029131802,48029131802,"Census Tract 1318.02, Bexar County, Texas",5479,672,4042,650,376,91,32,46,15,19,0,18,959,451,55,65,5,7,50,65
1400000US48029140100,48029140100,"Census Tract 1401, Bexar County, Texas",1699,188,958,209,32,25,38,43,0,13,0,13,644,288,27,25,14,20,13,12
1400000US48029140200,48029140200,"Census Tract 1402, Bexar County, Texas",2655,287,2150,293,100,66,6,12,0,13,0,13,338,199,61,39,21,31,40,38
1400000US48029140300,48029140300,"Census Tract 1403, Bexar County, Texas",3456,368,2147,405,101,137,0,13,0,13,0,13,1162,464,46,66,7,11,39,63
1400000US48029140400,48029140400,"Census Tract 1404, Bexar County, Texas",3702,484,3078,447,0,13,0,13,0,13,0,13,594,275,30,28,19,24,11,17
1400000US48029140500,48029140500,"Census Tract 1405, Bexar County, Texas",3999,421,2903,448,119,72,0,13,14,24,0,13,828,291,135,97,106,89,29,36
1400000US48029140600,48029140600,"Census Tract 1406, Bexar County, Texas",2641,278,1977,316,145,83,5,7,20,31,0,13,468,269,26,23,26,23,0,13
1400000US48029140700,48029140700,"Census Tract 1407, Bexar County, Texas",4683,429,3322,551,114,65,0,13,50,61,0,13,1107,500,90,66,8,13,82,65
1400000US48029140800,48029140800,"Census Tract 1408, Bexar County, Texas",5602,667,4423,825,65,61,46,51,62,69,0,13,913,449,93,94,83,91,10,16
1400000US48029140900,48029140900,"Census Tract 1409, Bexar County, Texas",1923,209,1490,213,6,11,0,13,21,24,7,11,399,206,0,13,0,13,0,13
