predict_all true_all
32883.4084048902 26695
24027.6508151012 18823
23860.5353657162 18610
18403.1049032997 23181
28908.1998211163 25039
22988.4164057588 14278
18606.592225986 31865
35805.025645995 31465
26451.9039348739 31046
30220.4560285113 28298
23156.8242111004 29277
14036.3424586389 9966
12833.3932050281 9382
9635.62920811993 11616
18572.7387591293 12104
14653.8823443348 13417
15272.837551118 13947
27038.2867422692 18488
12884.6396173953 16161
26729.5404497887 16661
17090.7874158047 15051
19917.5137622932 17820
21189.4658169768 13883
11583.3435353337 9597
20717.3972531244 16706
19437.3680547063 11928
24379.9480419444 17432
27363.267715155 23590
30539.9479980185 18689
35467.4781531491 18198
28960.0294757227 15469
18075.3614741622 11111
18287.0055300196 8420
12361.4159451395 8481
16028.7903564601 13550
31804.5398432099 13160
18986.1853168674 10880
12760.0702249553 10444
23684.3486102647 12456
27462.4910654761 20468
21823.9249832701 16202
26273.6642822142 20532
16664.6199696903 18746
22083.1131318165 17469
23310.2433978953 27455
23839.8153610382 17341
19760.295133832 15786
14386.7992063622 13661
18879.4518191845 27686
14967.0432945117 15799
20833.8747981292 16627
15835.1217641677 16902
21531.0725762449 21422
17064.0772596805 15016
26882.9398072364 15046
20922.8243880275 12409
19151.2046687545 14301
14016.4279527281 11027
14391.6572254479 15385
15557.3007105604 13613
13185.1334463388 15645
21490.7457638063 21393
26727.3746086364 23765
17227.1511304332 12071
23849.6715990122 16321
15322.7358067711 15008
15281.2131346436 13989
19801.2228065295 24287
22014.8290855708 17152
15741.4974001355 17119
20191.2748440377 16151
23915.3663856119 16254
23255.5655831565 20683
25227.7165256952 16948
24591.3189940101 23477
34294.1044536835 26346
28292.251428383 23828
24087.6437763141 28405
24670.5846850914 19924
32249.0588921551 34684
41885.5030283437 45542
21376.2624892191 25257
17568.9525181707 17654
19834.3324974575 18028
14260.3620817777 17679
22346.1326742479 20518
16394.3466583068 16817
13857.988610193 17478
17222.623727615 19497
33843.4857082697 33373
36833.9092801709 35634
39781.8605822933 43184
32195.6716241027 41993
27135.2454346383 32026
29111.9532024815 24850
30551.1998703878 45486
21533.5284908361 29463
24889.6545839986 23000
19619.871401637 26635
17865.3560238755 41726
29297.4102335984 44632
28004.5728924098 32320
27322.6935559143 27629
39707.0698298895 49001
19047.1801156904 15930
18191.7318942447 15311
21638.1992135034 21367
21713.5494675392 19748
20996.9806556685 14459
24557.3038102718 21489
22484.6627235711 15419
19559.4845657999 12762
22619.6901541755 17457
26135.0073482955 17006
29763.2002736112 15433
26262.9705339917 21899
35079.1557499847 30301
25564.629147383 17186
21730.4431565768 18910
22015.4457367415 21148
20294.9797956432 16561
22941.655273825 18179
16792.4289686511 13562
30123.1445837436 20409
28679.8924153986 31800
23297.9736958349 14677
13880.3926101384 11273
28937.3455213663 26595
9380.1042499363 13895
15205.7660102913 11055
27757.2506112064 31223
35018.5510257834 35153
20785.0548914122 22416
39232.0348687895 45602
36226.7596851202 49973
39912.1564183113 43277
35480.6518678839 40389
42224.8130595842 51160
24210.8092992863 17389
39789.3262595964 19305
28877.2582644073 26812
27293.5501726917 31479
24070.4698282611 17975
27728.8056472936 24340
22186.6366947227 26063
28324.4603074604 23207
24069.0667842708 20203
22979.9962181235 18954
19572.5855824285 19492
28440.3323461167 31041
30173.7656441313 27623
21674.0137660949 27631
19388.1909814684 26967
30675.3332428408 19389
24833.8543706624 20419
25848.5735359843 18369
25235.672908653 16997
29841.8236812667 31596
19410.9819708481 22180
32739.9069034632 27217
24993.5068239998 14332
32474.9353141631 23564
17389.0163029272 21026
34641.0361208027 21823
23730.9516874206 27972
