predict_all true_all
23284.5209992963 20878
21585.0380594929 24715
34830.6453084164 36162
28246.7783256471 29499
29581.4814652329 32152
16259.0809195016 25528
16725.5558650364 24486
16488.4105163226 15119
22768.5158443592 19531
18460.6607611337 15126
20562.271188096 12132
20034.6659589711 17938
17609.5746212529 17921
11468.7763363692 11649
21861.0781945551 21530
22789.4160215481 19431
23262.6105658618 21965
31650.6175284063 30065
26580.5855581268 21097
15911.4497830895 19189
16441.9811578839 16510
26705.1100784885 23607
23566.7121894086 20058
30710.1490723759 26058
20713.603432605 16926
34176.130534593 32852
36216.8156728642 39207
32160.7843734932 30324
26589.7763075598 24729
24592.6512969502 13784
25012.1231933943 19886
23081.8726262247 23779
27248.3172365361 28739
24222.4127442085 25751
26622.1238318082 22155
24558.2434757316 27516
25296.5492837298 25604
21811.8216536772 21037
22989.2094312531 15029
34779.2690204813 32240
24996.5630404105 23852
21559.0057183461 24795
35834.925721472 31616
34860.5876459149 31310
29791.2200131267 24836
19289.8912065777 18931
19238.9698896438 20463
31878.3517421769 28015
37047.6808865948 31979
28511.6552085924 26636
38663.4705829185 30946
27537.7437276789 23379
30633.1038393154 29083
26895.8757611804 25033
26285.2154596216 20459
20373.2900745688 20306
25743.3536269868 22586
33446.3521647365 27821
37184.2036249198 25708
18799.6887737683 21104
35083.2827488878 33321
26568.9562699464 27362
27739.8167704714 30866
29540.9019581005 33759
28759.7255836172 31634
32413.6586491804 32362
32939.5663772554 27788
26188.9322083609 25385
30684.8581808355 14460
26223.5980095273 27933
37200.1743541482 32556
25166.6886068608 27156
25991.2098746292 25231
30391.1871054788 40229
30830.1974208629 28627
35808.8968950928 27081
45906.0714818159 58169
32089.9822399984 35423
42848.210789014 46302
45784.2357691327 44857
45286.1187705281 46885
15773.2418694521 17597
22466.2173499084 34775
36215.7817475637 35667
16761.0108235148 20393
19969.9700711702 23080
17429.3898104903 18254
14883.7709441321 13444
14749.5164401577 16746
13215.2594800401 13483
17181.9534268907 23881
21294.3516396781 18239
22010.5575574971 24972
17028.082658872 18421
15697.0051374624 12436
14410.7487016687 12643
15635.7513967665 16181
35341.7379005625 34267
29168.3870985807 26972
33406.3119110694 38698
19814.6264319471 21888
43993.3178618261 36336
48480.0794073832 54813
21252.4857752436 20865
24847.5970484348 20875
22991.8026273853 20856
37258.788776335 38138
57382.6312886783 71652
44069.861632036 39421
35136.025890681 40899
52985.4810698216 70732
42912.0123253636 42366
53953.0186152526 72862
50162.8047180433 46162
47776.9573225319 61274
44360.4830214155 67566
37644.7863556176 58680
43149.2999192734 39912
44508.5366586656 42767
38698.0618658589 51617
34433.9410094176 38580
35196.2259776038 42535
45880.3255481219 52850
30367.0889954677 35900
12948.1408278068 16172
25508.6149911634 20858
25612.3542097297 52046
19884.6550536073 21364
39951.7874442095 58372
17754.3243240389 19156
